iter	Passed	Remaining
0	270	269791
1	271	135555
2	273	90775
3	274	68412
4	309	61520
5	311	51663
6	313	44489
7	315	39075
8	316	34860
9	318	31484
10	319	28731
11	321	26468
12	323	24554
13	325	22894
14	327	21523
15	329	20249
16	330	19125
17	332	18125
18	333	17231
19	335	16427
20	336	15698
21	338	15033
22	339	14426
23	350	14235
24	351	13710
25	353	13225
26	354	12780
27	356	12361
28	358	11993
29	359	11628
30	361	11286
31	362	10966
32	364	10668
33	365	10392
34	367	10137
35	369	9892
36	370	9655
37	373	9450
38	376	9278
39	378	9080
40	379	8886
41	386	8807
42	395	8801
43	396	8623
44	398	8453
45	399	8291
46	401	8136
47	403	8002
48	405	7868
49	406	7732
50	409	7610
51	410	7487
52	413	7395
53	415	7277
54	416	7162
55	419	7074
56	421	6968
57	433	7033
58	437	6984
59	442	6930
60	444	6834
61	445	6739
62	446	6646
63	448	6558
64	475	6842
65	477	6753
66	478	6665
67	479	6571
68	480	6489
69	483	6427
70	485	6349
71	486	6274
72	488	6199
73	489	6127
74	491	6056
75	492	5987
76	493	5921
77	495	5857
78	496	5793
79	499	5747
80	502	5705
81	504	5646
82	506	5590
83	509	5554
84	515	5549
85	516	5494
86	517	5433
87	519	5381
88	520	5329
89	522	5279
90	523	5230
91	525	5182
92	526	5135
93	528	5089
94	530	5056
95	532	5012
96	533	4969
97	535	4926
98	536	4884
99	538	4842
100	539	4802
101	540	4755
102	541	4716
103	543	4678
104	558	4759
105	560	4726
106	562	4691
107	563	4654
108	564	4618
109	566	4583
110	567	4547
111	569	4513
112	570	4480
113	582	4526
114	583	4492
115	584	4457
116	607	4584
117	609	4557
118	610	4522
119	612	4490
120	613	4458
121	615	4428
122	615	4391
123	617	4361
124	619	4333
125	620	4306
126	622	4279
127	624	4251
128	625	4223
129	627	4196
130	628	4169
131	629	4142
132	631	4116
133	632	4090
134	634	4066
135	661	4200
136	662	4175
137	664	4152
138	666	4128
139	667	4102
140	669	4078
141	673	4068
142	675	4050
143	679	4041
144	681	4020
145	686	4016
146	688	3997
147	690	3973
148	691	3951
149	693	3928
150	694	3906
151	696	3884
152	697	3862
153	710	3904
154	712	3883
155	713	3861
156	715	3840
157	718	3827
158	719	3806
159	721	3786
160	726	3784
161	727	3764
162	731	3755
163	733	3738
164	734	3718
165	736	3699
166	737	3679
167	739	3660
168	740	3642
169	742	3623
170	743	3606
171	756	3639
172	757	3621
173	759	3603
174	760	3585
175	761	3567
176	763	3551
177	765	3535
178	767	3520
179	769	3503
180	769	3482
181	772	3473
182	775	3464
183	778	3450
184	779	3434
185	781	3418
186	782	3402
187	784	3386
188	785	3370
189	786	3354
190	788	3339
191	790	3326
192	792	3312
193	793	3297
194	795	3282
195	796	3268
196	802	3270
197	803	3255
198	806	3244
199	807	3230
200	809	3216
201	810	3201
202	811	3187
203	813	3173
204	814	3159
205	816	3145
206	817	3132
207	819	3118
208	821	3108
209	822	3095
210	824	3081
211	825	3068
212	827	3055
213	828	3042
214	837	3057
215	838	3045
216	842	3038
217	843	3026
218	845	3015
219	847	3003
220	848	2991
221	850	2978
222	852	2970
223	853	2957
224	855	2945
225	856	2934
226	858	2922
227	859	2910
228	861	2899
229	862	2887
230	864	2876
231	865	2865
232	868	2858
233	902	2955
234	904	2944
235	905	2932
236	912	2936
237	913	2925
238	916	2918
239	917	2906
240	919	2895
241	920	2883
242	922	2872
243	923	2861
244	929	2865
245	935	2867
246	937	2859
247	939	2848
248	940	2837
249	942	2826
250	943	2815
251	945	2805
252	946	2795
253	948	2785
254	949	2775
255	951	2764
256	953	2758
257	955	2747
258	956	2737
259	958	2727
260	959	2717
261	961	2707
262	963	2699
263	964	2689
264	966	2679
265	967	2670
266	970	2663
267	972	2655
268	973	2645
269	975	2636
270	977	2629
271	979	2621
272	982	2615
273	983	2606
274	985	2596
275	1002	2629
276	1004	2620
277	1005	2611
278	1006	2602
279	1009	2596
280	1011	2587
281	1012	2578
282	1014	2571
283	1016	2562
284	1017	2553
285	1021	2549
286	1032	2564
287	1034	2556
288	1035	2547
289	1036	2538
290	1038	2530
291	1040	2523
292	1051	2536
293	1052	2528
294	1054	2519
295	1056	2511
296	1057	2503
297	1059	2496
298	1061	2488
299	1062	2479
300	1064	2471
301	1065	2463
302	1069	2459
303	1071	2454
304	1073	2446
305	1075	2439
306	1076	2431
307	1078	2422
308	1079	2414
309	1081	2406
310	1082	2398
311	1090	2404
312	1091	2396
313	1093	2388
314	1094	2380
315	1096	2372
316	1097	2364
317	1099	2356
318	1100	2349
319	1103	2344
320	1104	2336
321	1108	2333
322	1109	2325
323	1111	2318
324	1112	2311
325	1114	2305
326	1116	2297
327	1118	2290
328	1119	2283
329	1120	2275
330	1132	2288
331	1134	2282
332	1136	2276
333	1138	2269
334	1140	2263
335	1141	2256
336	1143	2249
337	1144	2242
338	1146	2236
339	1148	2229
340	1152	2227
341	1155	2222
342	1156	2216
343	1161	2215
344	1164	2210
345	1167	2206
346	1168	2198
347	1169	2191
348	1171	2185
349	1173	2179
350	1175	2172
351	1176	2165
352	1177	2158
353	1179	2152
354	1181	2145
355	1182	2138
356	1183	2132
357	1185	2125
358	1186	2118
359	1189	2113
360	1190	2107
361	1191	2100
362	1193	2094
363	1195	2088
364	1196	2082
365	1198	2076
366	1200	2070
367	1203	2066
368	1204	2060
369	1205	2053
370	1207	2046
371	1208	2040
372	1209	2033
373	1211	2027
374	1212	2021
375	1214	2015
376	1215	2009
377	1218	2004
378	1219	1998
379	1221	1992
380	1222	1985
381	1224	1980
382	1225	1974
383	1227	1969
384	1229	1963
385	1230	1957
386	1234	1954
387	1235	1948
388	1236	1942
389	1238	1936
390	1239	1930
391	1240	1924
392	1242	1918
393	1244	1913
394	1246	1908
395	1249	1905
396	1251	1900
397	1253	1895
398	1254	1889
399	1255	1883
400	1257	1878
401	1258	1872
402	1260	1866
403	1261	1861
404	1264	1857
405	1265	1851
406	1267	1846
407	1268	1840
408	1270	1835
409	1271	1830
410	1273	1824
411	1278	1824
412	1280	1819
413	1281	1814
414	1283	1809
415	1289	1810
416	1291	1805
417	1295	1803
418	1296	1797
419	1298	1792
420	1299	1787
421	1301	1782
422	1302	1777
423	1304	1771
424	1305	1766
425	1307	1761
426	1309	1757
427	1310	1751
428	1312	1746
429	1313	1741
430	1315	1736
431	1316	1730
432	1317	1725
433	1319	1720
434	1320	1715
435	1324	1713
436	1326	1708
437	1327	1703
438	1328	1698
439	1330	1693
440	1331	1688
441	1333	1683
442	1334	1678
443	1336	1673
444	1339	1670
445	1340	1665
446	1342	1660
447	1343	1655
448	1345	1650
449	1346	1645
450	1348	1640
451	1349	1636
452	1350	1631
453	1352	1626
454	1361	1631
455	1363	1627
456	1365	1622
457	1367	1617
458	1369	1614
459	1379	1618
460	1380	1614
461	1383	1611
462	1386	1607
463	1387	1603
464	1389	1598
465	1390	1593
466	1392	1588
467	1393	1584
468	1395	1579
469	1396	1574
470	1397	1569
471	1399	1565
472	1401	1561
473	1402	1556
474	1404	1552
475	1405	1547
476	1407	1542
477	1408	1538
478	1409	1533
479	1411	1528
480	1412	1524
481	1413	1519
482	1416	1516
483	1420	1513
484	1421	1509
485	1422	1504
486	1424	1500
487	1425	1495
488	1427	1491
489	1429	1487
490	1431	1484
491	1440	1487
492	1442	1483
493	1443	1478
494	1445	1474
495	1448	1471
496	1450	1467
497	1451	1463
498	1452	1458
499	1454	1454
500	1455	1449
501	1457	1445
502	1458	1441
503	1459	1436
504	1461	1432
505	1463	1428
506	1466	1425
507	1467	1421
508	1469	1417
509	1470	1413
510	1472	1408
511	1474	1405
512	1476	1401
513	1479	1398
514	1480	1394
515	1482	1390
516	1483	1385
517	1484	1381
518	1486	1377
519	1487	1373
520	1489	1369
521	1490	1365
522	1492	1360
523	1494	1357
524	1495	1353
525	1496	1348
526	1498	1344
527	1499	1340
528	1501	1336
529	1502	1332
530	1503	1328
531	1512	1330
532	1514	1326
533	1515	1322
534	1517	1318
535	1518	1314
536	1520	1310
537	1521	1306
538	1523	1302
539	1525	1299
540	1526	1295
541	1528	1291
542	1529	1287
543	1530	1283
544	1532	1279
545	1533	1275
546	1535	1271
547	1536	1267
548	1538	1263
549	1539	1259
550	1542	1257
551	1544	1253
552	1545	1249
553	1547	1245
554	1548	1241
555	1550	1237
556	1551	1234
557	1553	1230
558	1555	1227
559	1557	1223
560	1558	1219
561	1560	1215
562	1561	1211
563	1562	1208
564	1564	1204
565	1565	1200
566	1567	1196
567	1568	1192
568	1570	1189
569	1572	1185
570	1574	1183
571	1576	1179
572	1578	1175
573	1579	1172
574	1581	1168
575	1582	1165
576	1585	1162
577	1586	1158
578	1594	1159
579	1595	1155
580	1597	1152
581	1602	1151
582	1604	1147
583	1606	1144
584	1607	1140
585	1609	1137
586	1610	1133
587	1612	1129
588	1613	1125
589	1616	1123
590	1617	1119
591	1619	1116
592	1620	1112
593	1622	1108
594	1623	1105
595	1624	1101
596	1626	1097
597	1627	1094
598	1628	1090
599	1630	1087
600	1631	1083
601	1634	1080
602	1636	1077
603	1637	1073
604	1639	1070
605	1640	1066
606	1641	1062
607	1643	1059
608	1645	1056
609	1646	1052
610	1647	1049
611	1648	1045
612	1649	1041
613	1650	1037
614	1651	1034
615	1652	1030
616	1653	1026
617	1654	1022
618	1655	1019
619	1656	1015
620	1657	1011
621	1659	1008
622	1661	1005
623	1662	1002
624	1664	998
625	1666	995
626	1667	991
627	1668	988
628	1669	984
629	1670	980
630	1671	977
631	1672	973
632	1675	971
633	1677	968
634	1679	965
635	1680	962
636	1682	958
637	1683	955
638	1684	951
639	1686	948
640	1687	945
641	1689	941
642	1690	938
643	1691	935
644	1692	931
645	1693	928
646	1694	924
647	1695	921
648	1696	917
649	1698	914
650	1699	910
651	1700	907
652	1701	904
653	1702	900
654	1704	897
655	1705	894
656	1706	890
657	1707	887
658	1709	884
659	1710	880
660	1711	877
661	1712	874
662	1713	870
663	1714	867
664	1716	864
665	1718	861
666	1720	858
667	1721	855
668	1723	852
669	1725	849
670	1726	846
671	1727	843
672	1729	840
673	1730	836
674	1731	833
675	1732	830
676	1733	827
677	1735	824
678	1735	820
679	1736	817
680	1737	813
681	1738	810
682	1739	807
683	1740	803
684	1740	800
685	1741	797
686	1742	793
687	1743	790
688	1744	787
689	1745	784
690	1745	780
691	1746	777
692	1748	774
693	1749	771
694	1750	768
695	1750	764
696	1751	761
697	1752	758
698	1753	754
699	1753	751
700	1754	748
701	1755	745
702	1756	742
703	1757	738
704	1758	735
705	1758	732
706	1759	729
707	1761	726
708	1763	723
709	1764	720
710	1765	717
711	1766	714
712	1767	711
713	1768	708
714	1769	705
715	1770	702
716	1771	699
717	1772	696
718	1773	692
719	1773	689
720	1774	686
721	1775	683
722	1776	680
723	1777	677
724	1778	674
725	1779	671
726	1780	668
727	1781	665
728	1782	662
729	1783	659
730	1784	656
731	1784	653
732	1785	650
733	1786	647
734	1787	644
735	1788	641
736	1789	638
737	1789	635
738	1790	632
739	1791	629
740	1793	626
741	1794	623
742	1795	620
743	1796	618
744	1797	615
745	1798	612
746	1799	609
747	1800	606
748	1801	603
749	1802	600
750	1803	598
751	1804	595
752	1805	592
753	1807	589
754	1808	586
755	1809	584
756	1810	581
757	1811	578
758	1812	575
759	1813	572
760	1814	569
761	1815	567
762	1816	564
763	1818	561
764	1819	558
765	1820	556
766	1821	553
767	1822	550
768	1823	547
769	1824	545
770	1825	542
771	1826	539
772	1827	536
773	1828	533
774	1828	530
775	1829	528
776	1830	525
777	1831	522
778	1832	519
779	1833	517
780	1833	514
781	1834	511
782	1835	508
783	1836	506
784	1837	503
785	1838	500
786	1839	497
787	1840	495
788	1841	492
789	1842	489
790	1843	486
791	1844	484
792	1845	481
793	1845	478
794	1846	476
795	1847	473
796	1848	470
797	1849	468
798	1851	465
799	1852	463
800	1853	460
801	1854	457
802	1855	455
803	1855	452
804	1856	449
805	1857	447
806	1858	444
807	1859	441
808	1860	439
809	1861	436
810	1862	434
811	1863	431
812	1864	428
813	1866	426
814	1867	423
815	1868	421
816	1869	418
817	1870	416
818	1871	413
819	1872	411
820	1873	408
821	1874	405
822	1875	403
823	1876	400
824	1877	398
825	1878	395
826	1879	393
827	1881	390
828	1882	388
829	1883	385
830	1884	383
831	1886	380
832	1888	378
833	1889	376
834	1890	373
835	1891	371
836	1892	368
837	1893	366
838	1895	363
839	1896	361
840	1897	358
841	1898	356
842	1899	353
843	1900	351
844	1901	348
845	1901	346
846	1902	343
847	1903	341
848	1904	338
849	1905	336
850	1905	333
851	1906	331
852	1907	328
853	1908	326
854	1908	323
855	1910	321
856	1910	318
857	1911	316
858	1912	313
859	1913	311
860	1914	309
861	1915	306
862	1915	304
863	1916	301
864	1917	299
865	1917	296
866	1918	294
867	1919	291
868	1920	289
869	1921	287
870	1921	284
871	1922	282
872	1923	279
873	1924	277
874	1925	275
875	1926	272
876	1926	270
877	1927	267
878	1928	265
879	1929	263
880	1930	260
881	1931	258
882	1932	256
883	1933	253
884	1934	251
885	1935	249
886	1936	246
887	1937	244
888	1938	242
889	1939	239
890	1940	237
891	1941	235
892	1943	232
893	1944	230
894	1945	228
895	1945	225
896	1946	223
897	1947	221
898	1948	218
899	1949	216
900	1949	214
901	1950	211
902	1951	209
903	1952	207
904	1953	205
905	1954	202
906	1955	200
907	1956	198
908	1956	195
909	1957	193
910	1958	191
911	1959	189
912	1959	186
913	1960	184
914	1961	182
915	1962	179
916	1962	177
917	1963	175
918	1964	173
919	1965	170
920	1965	168
921	1966	166
922	1967	164
923	1968	161
924	1969	159
925	1970	157
926	1971	155
927	1972	153
928	1973	150
929	1974	148
930	1975	146
931	1976	144
932	1977	141
933	1978	139
934	1978	137
935	1979	135
936	1980	133
937	1981	130
938	1982	128
939	1983	126
940	1984	124
941	1985	122
942	1985	120
943	1986	117
944	1987	115
945	1988	113
946	1988	111
947	1989	109
948	1990	106
949	1991	104
950	1991	102
951	1992	100
952	1993	98
953	1994	96
954	1995	94
955	1995	91
956	1996	89
957	1997	87
958	1998	85
959	1999	83
960	2000	81
961	2001	79
962	2001	76
963	2002	74
964	2003	72
965	2004	70
966	2004	68
967	2005	66
968	2006	64
969	2007	62
970	2007	59
971	2008	57
972	2009	55
973	2010	53
974	2011	51
975	2012	49
976	2013	47
977	2014	45
978	2015	43
979	2016	41
980	2017	39
981	2017	36
982	2018	34
983	2019	32
984	2020	30
985	2021	28
986	2022	26
987	2023	24
988	2024	22
989	2024	20
990	2025	18
991	2027	16
992	2028	14
993	2029	12
994	2030	10
995	2031	8
996	2032	6
997	2032	4
998	2033	2
999	2034	0
